label,i,j,K_ij
fcnn,18,14,29.558212280273438
fcnn,18,15,28.178913116455078
fcnn,18,16,34.665985107421875
fcnn,18,17,30.36109161376953
fcnn,19,0,54.980712890625
fcnn,19,1,47.31402587890625
fcnn,19,2,48.04106903076172
fcnn,19,3,42.22141647338867
fcnn,19,4,52.89490509033203
fcnn,19,5,36.50800704956055
fcnn,19,6,46.41728210449219
fcnn,19,7,33.424224853515625
fcnn,19,8,51.789794921875
fcnn,19,9,24.482702255249023
fcnn,19,10,47.115142822265625
fcnn,19,11,49.0794792175293
fcnn,19,12,47.407249450683594
fcnn,19,13,36.430110931396484
fcnn,19,14,42.871700286865234
fcnn,19,15,46.30665588378906
fcnn,19,16,44.206153869628906
fcnn,19,17,49.38453674316406
fcnn,19,18,25.987552642822266
fcnn,20,0,46.44589614868164
fcnn,20,1,35.22752380371094
fcnn,20,2,49.53104019165039
fcnn,20,3,37.36449432373047
fcnn,20,4,46.6048583984375
fcnn,20,5,42.11228942871094
fcnn,20,6,41.0255126953125
fcnn,20,7,38.84207534790039
fcnn,20,8,42.79997253417969
fcnn,20,9,36.22234344482422
fcnn,20,10,46.209556579589844
fcnn,20,11,41.929046630859375
fcnn,20,12,41.435813903808594
fcnn,20,13,43.55229568481445
fcnn,20,14,39.24285888671875
fcnn,20,15,34.768089294433594
fcnn,20,16,41.467655181884766
fcnn,20,17,41.21626663208008
fcnn,20,18,34.86488342285156
fcnn,20,19,36.47393798828125
fcnn,21,0,62.52141571044922
fcnn,21,1,45.6566162109375
fcnn,21,2,52.67402267456055
fcnn,21,3,50.434844970703125
fcnn,21,4,56.92613220214844
fcnn,21,5,38.388328552246094
fcnn,21,6,49.41413116455078
fcnn,21,7,37.95149612426758
fcnn,21,8,53.1763916015625
fcnn,21,9,28.48662567138672
fcnn,21,10,52.14653778076172
fcnn,21,11,56.513511657714844
fcnn,21,12,51.733642578125
fcnn,21,13,41.6787109375
fcnn,21,14,47.675804138183594
fcnn,21,15,46.559791564941406
fcnn,21,16,54.28629684448242
fcnn,21,17,51.718101501464844
fcnn,21,18,31.913780212402344
fcnn,21,19,49.82338333129883
fcnn,21,20,42.836299896240234
fcnn,22,0,58.95136260986328
fcnn,22,1,46.9749755859375
fcnn,22,2,54.15019226074219
fcnn,22,3,54.27801513671875
fcnn,22,4,57.35467529296875
fcnn,22,5,35.810829162597656
fcnn,22,6,52.30290985107422
fcnn,22,7,37.88974380493164
fcnn,22,8,54.954376220703125
fcnn,22,9,32.23488235473633
fcnn,22,10,50.555641174316406
fcnn,22,11,55.65837478637695
fcnn,22,12,53.10258483886719
fcnn,22,13,41.66773223876953
fcnn,22,14,49.05144500732422
fcnn,22,15,46.3347282409668
fcnn,22,16,53.686180114746094
fcnn,22,17,50.80518341064453
fcnn,22,18,35.1469841003418
fcnn,22,19,47.75764083862305
fcnn,22,20,42.61592483520508
fcnn,22,21,55.641319274902344
fcnn,23,0,57.05851745605469
fcnn,23,1,49.066524505615234
fcnn,23,2,50.40892028808594
fcnn,23,3,54.448081970214844
fcnn,23,4,52.708274841308594
fcnn,23,5,31.65130615234375
fcnn,23,6,48.162506103515625
fcnn,23,7,35.20724105834961
fcnn,23,8,50.98349380493164
fcnn,23,9,24.319169998168945
fcnn,23,10,49.14055252075195
fcnn,23,11,52.99589538574219
fcnn,23,12,53.609458923339844
fcnn,23,13,35.79718780517578
fcnn,23,14,43.426658630371094
fcnn,23,15,43.82321548461914
fcnn,23,16,52.12986755371094
fcnn,23,17,47.2100830078125
fcnn,23,18,29.468120574951172
fcnn,23,19,45.070404052734375
fcnn,23,20,36.88164138793945
fcnn,23,21,52.50578308105469
fcnn,23,22,52.72256851196289
fcnn,24,0,58.06879425048828
fcnn,24,1,44.72968292236328
fcnn,24,2,49.920433044433594
fcnn,24,3,49.6679801940918
fcnn,24,4,54.420745849609375
fcnn,24,5,42.34795379638672
fcnn,24,6,47.52924346923828
fcnn,24,7,35.56239318847656
fcnn,24,8,52.23714828491211
fcnn,24,9,31.436120986938477
fcnn,24,10,53.05140686035156
fcnn,24,11,52.2830924987793
fcnn,24,12,53.00091552734375
fcnn,24,13,40.493492126464844
fcnn,24,14,49.142356872558594
fcnn,24,15,43.24541473388672
fcnn,24,16,51.740997314453125
fcnn,24,17,49.65001678466797
fcnn,24,18,30.765226364135742
fcnn,24,19,46.339874267578125
